id,nama_rsu,jenis_rsu,location/alamat,location/latitude,location/longitude,kode_pos,telepon/0,telepon/1,telepon/2,faximile/0,faximile/1,website,email,kode_kota,kode_kecamatan,kode_kelurahan,latitude,longitude,shape
17,Evasari,Rumah Sakit Umum,Jalan  Rawamangun  Nomor 47,-6.193554,106.859947,10570,4202851-4,,,4209725,,www.evasari-jakarta.awalbros.com,info@rsia_evasari@yahoo.com,3173,3173050,3173050001,-6.193554,106.859947,POINT(106.859947 -6.193554)
18,Mitra Kemayoran,Rumah Sakit Umum,Jl. Landas Pacu Timur,-6.151878,106.858414,10630,6545555,,,6545959,,www.mitrakemayoran.com,kemayoran@mitrakeluarga.com,3175,3175030,3175030002,-6.151878,106.858414,POINT(106.858414 -6.151878)
19,Husada ,Rumah Sakit Umum,Jl. Raya Mangga Besar Raya 137 - 139,-6.147598,106.828812,10730,6260208 - 6490090,,,6497494,,www.husada.co.id,husada@husada.co.id,3173,3173070,3173070005,-6.147598,106.828812,POINT(106.828812 -6.147598)
21,Islam Jakarta Sukapura,Rumah Sakit Umum,Jl. Tipar - Cakung No. 5,-6.139646,106.920921,14140,4400778,4400779,4400781,4400782,,www.rsijsukapura@.co.id,rsijsukapura@gmail.com,3175,3175060,3175060001,-6.139646,106.920921,POINT(106.920921 -6.139646)
22,Pekerja,Rumah Sakit Umum,"Jalan  Raya Cakung Cilincing, RT.002/RW.003 ",-6.144747,106.923759,14140,29484848  (10 lines),,,29482875,,www.kbn.co.id,rsu.pekerja@gmail.com,3175,3175060,3175060001,-6.144747,106.923759,POINT(106.923759 -6.144747)
23,Koja,Rumah Sakit Umum Daerah,Jl. Deli No. 4  Tanjung Priok,-6.108805,106.900162,14220,43938478,,,4352401 - 4372273,,www.rsudkoja.com,rsudkoja@ymail.com,3175,3175040,3175040006,-6.108805,106.900162,POINT(106.900162 -6.108805)
24,Mitra Keluarga Kelapa Gading,Rumah Sakit Umum,Jl. Bukit Gading Raya Kav. II,-6.151771,106.897102,14240,45852700,,,45852727,,www.mitrakeluarga.com,kelapagading@mitrakeluarga.com,3175,3175050,3175050001,-6.151771,106.897102,POINT(106.897102 -6.151771)
25,Gading Pluit,Rumah Sakit Umum,Jl. Boulevard Timur Raya RT. 006 / 02,-6.166122,106.915993,14250,4521001,4520201,,4520578,,,gadingpluit@gadingpluit-hospital.com,3175,3175050,3175050003,-6.166122,106.915993,POINT(106.915993 -6.166122)
26,Pelabuhan Jakarta,Rumah Sakit Umum,"Jl. Kramat Jaya, Tanjung Priok",-6.124692,106.917519,14260,4403026,,,4403551,4406886,www.rspelabuhan.com,marketing.rspj@gmail.com,3175,3175040,3175040003,-6.124692,106.917519,POINT(106.917519 -6.124692)
27,Mulyasari,Rumah Sakit Umum,Jl. Raya Plumpang Semper No. 19,-6.129088,106.906509,14260,4390666,4393111,4393888,43935676,,www.rsmulyasari.com,info@rsmulyasari.com,3175,3175040,3175040003,-6.129088,106.906509,POINT(106.906509 -6.129088)
28,Port Medical Center,Rumah Sakit Umum,Jl. Enggano No. 10,-6.110295,106.889389,14310,43902350,,,43902302,,,tienastari_jpkm@yahoo.com,3175,3175030,3175030007,-6.110295,106.889389,POINT(106.889389 -6.110295)
29,Sukmul Sisma Medika,Rumah Sakit Umum,Jl. Tawes No. 18-20 ,-6.112143,106.881996,14310,4301269,,,4301272,,,"sriha36@gmail.com, sukmul@indosat.net.id",3175,3175030,3175030007,-6.112143,106.881996,POINT(106.881996 -6.112143)
30,Puri Medika,Rumah Sakit Umum,Jl Sungai Bambu  No. 5,-6.129145,106.890198,14330,43903355-43901273,,,43903388,,www.purimdika.com,purmed-medcen@centrin.net.id,3175,3175030,3175030006,-6.129145,106.890198,POINT(106.890198 -6.129145)
31,Satya Negara,Rumah Sakit Umum,Jl. Agung Utara Raya Blok A No. 1,-6.138887,106.861549,14350,65836583,64715200,64715900,687813-64717813,,www.rssatyanegara.com,"chitra_usmanuddin@yahoo.com, rssn@cbn.net.id",3175,3175030,3175030001,-6.138887,106.861549,POINT(106.861549 -6.138887)
32,Royal Progress,Rumah Sakit Umum,Jl. Danau Sunter Utara Blok F 25 No. 12,-6.139086,106.865395,14350,6459877-6400261,,,6400778,,www.royalprogress.com,"setdir.rssn@gmail.com, ask.us@royalprogress.com",3175,3175030,3175030001,-6.139086,106.865395,POINT(106.865395 -6.139086)
33,Hermina Podomoro,Rumah Sakit Umum,Jalan  Danau Agung 2 Blok E 3  Nomor 28-30,-6.145772,106.859978,14350,6404910,,,6518720,,www.hermina.com,podomoro@rsiahermina.com,3175,3175030,3175030001,-6.145772,106.859978,POINT(106.859978 -6.145772)
34,Atma Jaya,Rumah Sakit Umum,Jl. Pluit Raya No. 2,-6.126524,106.792809,14440,6606121 ; 6606127,,,6606122,,,rsatmajaya@pdpersi.co.id,3175,3175010,3175010004,-6.126524,106.792809,POINT(106.792809 -6.126524)
35,Pluit,Rumah Sakit Umum,Jl. Raya Pluit Selatan No. 2,-6.125572,106.799835,14440,6685006 - 6685070,,,6684878,,www.pluit-hospital.com,pluithospital@pluit-hospital.com,3175,3175010,3175010004,-6.125572,106.799835,POINT(106.799835 -6.125572)
36,Duta Indah,Rumah Sakit Umum,Jalan  Teluk Gong Raya  Nomor 12,-6.138351,106.783676,14450,66676188,,,666676190,,,,3175,3175010,3175010003,-6.138351,106.783676,POINT(106.783676 -6.138351)
37,Pantai Indah Kapuk,Rumah Sakit Umum,Jl. Pantai Indah Utara 3 Sek. Utr. Tmr Blok T,-6.111786,106.752617,14460,5880911,,,5880910,,www.pikhospital.co.id,pr@pikhospital.co.id,3175,3175010,3175010002,-6.111786,106.752617,POINT(106.752617 -6.111786)
39,Pelni Petamburan,Rumah Sakit Umum,Jl. Aip II K. S. Tubun No. 92-94,-6.193323,106.804817,11410,5480608,,,5483145,,,"info@rspelni.co.id, danty@rspelni.net",3174,3174030,3174030002,-6.193323,106.804817,POINT(106.804817 -6.193323)
40,Bhakti Mulia,Rumah Sakit Umum,Jl. Aipda K. S. Tubun No. 79,-6.199652,106.800537,11410,5481625,5481262,,5331544,,,rs.bhaktimulia@yahoo.co.id,3174,3174030,3174030002,-6.199652,106.800537,POINT(106.800537 -6.199652)
41,Sumber Waras ,Rumah Sakit Umum,Jl. Kyai Tapa No. 1,-6.167247,106.79837,11440,5682011-5663726,,,5673122,,www.rssumberwaras.com,"bambang.heri@gmail.com, sekretariat@rssumberwaras.com",3174,3174040,3174040003,-6.167247,106.79837,POINT(106.79837 -6.167247)
42,Royal Taruma,Rumah Sakit Umum,Jl. Daan Mogot  No. 34,-6.166489,106.785637,11470,56958338,56967788,,56958589,,www.rs-royaltaruma.com,direksi@rs-royaltaruma.com,3174,3174040,3174040001,-6.166489,106.785637,POINT(106.785637 -6.166489)
43,Patria IKKT,Rumah Sakit Umum,"Jalan Cendrawasih Nomor 1 Komp.Dep.Han, Mabes TNI  Slipi",-6.197132,106.7929,11480,5308981-5308984,,,5346387,,,patria_ikkt@yahoo.co.id,3174,3174030,3174030001,-6.197132,106.7929,POINT(106.7929 -6.197132)
44,Puri Mandiri Kedoya,Rumah Sakit Umum,Jl. Kedoya Raya / Al-Kamal No. 2,-6.187422,106.761673,11520,5802126 ; 5828299,,,5816185 ; 5828499,,,customer_service@rspurimandirikedoya.com,3174,3174020,3174020006,-6.187422,106.761673,POINT(106.761673 -6.187422)
45,Grha Kedoya,Rumah Sakit Umum,Jl. Panjang Arteri 26,-6.168242,106.765175,11520,56982222,29910999,,56982233,,www.grhakedoya.com,info@grhakedoya.com,3174,3174020,3174020007,-6.168242,106.765175,POINT(106.765175 -6.168242)
46,Siloam Hospitals Kebon Jeruk,Rumah Sakit Umum,Jl. Raya Pejuangan Kav. 8,-6.190661,106.76384,11530,5300887 ; 8 ; 9,,,5321766,,www.siloamhospital.com,info@siloamhospitals.com,3174,3174020,3174020004,-6.190661,106.76384,POINT(106.76384 -6.190661)
47,Medika Permata Hijau,Rumah Sakit Umum,Jl. Raya Kebayoran Lama No. 64 ,-6.218273,106.77832,11560,5347411 - 5305288,,,5305291,,www.rsmph.co.id,mph-mkt@rad.net.id,3174,3174020,3174020001,-6.218273,106.77832,POINT(106.77832 -6.218273)
48,Pondok Indah - Puri Indah,Rumah Sakit Umum,Jl. Puri Indah Raya  Blok S-2,-6.185972,106.735947,11610,25695222,25695200,,25695205,,www.rspondokindah.co.id,rspi@rspondokindah.co.id,3174,3174010,3174010005,-6.185972,106.735947,POINT(106.735947 -6.185972)
49,Cengkareng,Rumah Sakit Umum Daerah,"Jl. Kamal Raya, Bumi Cengkareng Indah",-6.142909,106.735199,11730,5442692 ,54372874 - 6,,54372884 ; 54374844 ,5442693,www.rsudcengkareng.com,hafifahany@rsudcengkareng.com,3174,3174070,3174070005,-6.142909,106.735199,POINT(106.735199 -6.142909)
50,Hermina Daan Mogot,Rumah Sakit Umum,"Jl. Kintamani Raya No. 2, Kawasan Daan Mogot Baru",-6.152913,106.71241,11840,5408989 - 5411109,,,5449869,,www.herminahospitalgroup.com,daanmogot@herminahospitalgroup.com,3174,3174080,3174080002,-6.152913,106.71241,POINT(106.71241 -6.152913)
52,Pusat Pertamina ,Rumah Sakit Umum,Jl. Kyai Maja No. 43,-6.240607,106.792831,12120,7219202-7200290,,,7209811,7203540,www.rspp.co.id,"dr.maulana@gmail.com, syafik_a@hotmail.com, humasrspp@pertamedika.co.id",3171,3171060,3171060007,-6.240607,106.792831,POINT(106.792831 -6.240607)
53,Muhammadiyah Taman Puring,Rumah Sakit Umum,Jl. Gandaria I / 20,-6.241654,106.787193,12130,7208358,7250243,,7234823,,www.rsiamtp.com,rsiamtp@rsiamtp.com,3171,3171060,3171060006,-6.241654,106.787193,POINT(106.787193 -6.241654)
54,Gandaria,Rumah Sakit Umum,Jl. Gandaria Tengah II No. 6 - 14,-6.244061,106.790398,12140,7250718-7203311,,,7248175 - 7222038,,,,3171,3171060,3171060006,-6.244061,106.790398,POINT(106.790398 -6.244061)
55,Yadika Kebayoran Lama,Rumah Sakit Umum,Jalan  Ciputat Raya  Nomor 5,-6.255353,106.777405,12240,7291074,7291077,,72895046,,,rsyadika@yahoo.com,3171,3171050,3171050002,-6.255353,106.777405,POINT(106.777405 -6.255353)
56,Pondok Indah - Pondok Indah,Rumah Sakit Umum,"Jl. Metro Duta Kav. UE,  Pondok Indah",-6.283649,106.781296,12310,7657525-7692252,,,7502324,,www.rspondokindah.co.id,rspi@rspondokindah.co.id,3171,3171050,3171050001,-6.283649,106.781296,POINT(106.781296 -6.283649)
57,Bhayangkara Sespimma Polri,Rumah Sakit Umum,Jalan  Ciputat Raya Nomor 40,-6.286687,106.770523,12310,021-7650384 ; 7666087 ; 7692919,,,021-7666106,,,"rs.sespimma_polri@yahoo.co.id, yenifebrianti66@yahoo.com",3171,3171050,3171050001,-6.286687,106.770523,POINT(106.770523 -6.286687)
58,Dr. Suyoto,Rumah Sakit Umum,Jl. R.C. Veteran No. 178,-6.267451,106.766129,12330,7342581,,,77884000,73425817,www.suyotohospital.com,"pemasaranrsds@yahoo.com, humas@suyotohospital.com",3171,3171040,3171040001,-6.267451,106.766129,POINT(106.766129 -6.267451)
59,Fatmawati ,Rumah Sakit Umum Pusat,Jl. RS. Fatmawati,-6.295009,106.795578,12430,7660552,7501524,,7690123 - 7504022,,www.fatmawatihospital.com,rsupf@fatmawatihospita.com,3171,3171030,3171030003,-6.295009,106.795578,POINT(106.795578 -6.295009)
60,Setia Mitra,Rumah Sakit Umum,Jl. RS Fatmawati No. 80 - 82,-6.281337,106.795708,12430,7656000,,,7656875,,,"dwilaras_p@yahoo.com,  info@rssetiamitra.co.id",3171,3171030,3171030003,-6.281337,106.795708,POINT(106.795708 -6.281337)
61,Siloam TB Simatupang,Rumah Sakit Umum,Jl. RA. Kartini No.8,-6.292365,106.783905,12430,29531900,,,,,www.siloamhospital.com,irna.hardiawan@siloamhospitals.com,3171,3171030,3171030001,-6.292365,106.783905,POINT(106.783905 -6.292365)
62,Mayapada,Rumah Sakit Umum,Jl. Lebak Bulus I  RT.006 / RW.004,-6.298736,106.785728,12440,,,,,,,,3171,3171030,3171030003,-6.298736,106.785728,POINT(106.785728 -6.298736)
63,Prikasih,Rumah Sakit Umum,Jl. RS. Fatmawati No. 74  RT.005 / RW.01,-6.314489,106.793518,12450,7501192,7504669,,7505148,,www.rsprikasih.com,prikasih@cbn.net.id,3171,3171030,3171030002,-6.314489,106.793518,POINT(106.793518 -6.314489)
64,Siaga Raya,Rumah Sakit Umum,Jl. Siaga Raya Kav. 4 - 8,-6.272883,106.838951,12510,7972750-7972790,,,7970494,,,rs_sigaraya@pdpersi.co,3171,3171020,3171020006,-6.272883,106.838951,POINT(106.838951 -6.272883)
65,Rumkital Marinir Cilandak,Rumah Sakit Umum,Jl. Raya Cilandak  KKO,-6.305478,106.813354,12560,7805296,7805415,,7812764,,,"enytiar@yahoo.com, layanan@rsmarinir.com",3171,3171020,3171020001,-6.305478,106.813354,POINT(106.813354 -6.305478)
66,Ali Sibroh Malisi,Rumah Sakit Umum,Jalan  Warung Silah  Nomor 1  RT.008 / RW.05,-6.344991,106.813705,12630,021-7868172,7270681,,78885063,,,md_azri@yahoo.com,3171,3171010,3171010001,-6.344991,106.813705,POINT(106.813705 -6.344991)
67,Zahirah,Rumah Sakit Umum,Jl. Sirsak No. 21,-6.335719,106.823326,12690,7872210,78888723,,7270013,,www.rszahirah.com,marketing@rszahirah.com,3171,3171010,3171010004,-6.335719,106.823326,POINT(106.823326 -6.335719)
68,Jakarta Medical Center,Rumah Sakit Umum,Jl. Warung Buncit Raya No. 15,-6.271507,106.830147,12740,7985177-7980888,,,7940838,,,rs_jmc@cbn.net.id,3171,3171080,3171080001,-6.271507,106.830147,POINT(106.830147 -6.271507)
69,Siloam Asri,Rumah Sakit Umum,Jalan Duren Tiga Raya Nomor 20  RT.004 / RW.01,-6.254546,106.83213,12760,7992211,,,7996505,,,,3171,3171080,3171080003,-6.254546,106.83213,POINT(106.83213 -6.254546)
70,Tria Dipa,Rumah Sakit Umum,Jl. Raya Pasar Minggu No. 3 A,-6.250846,106.841957,12780,7974071-73,,,7974074,,,customer@rs-triadipa.com,3171,3171080,3171080004,-6.250846,106.841957,POINT(106.841957 -6.250846)
71,Tebet,Rumah Sakit Umum,Jl. MT. Haryono No. 8,-6.242549,106.849945,12810,8307540,,,8311760,,,,3171,3171090,3171090002,-6.242549,106.849945,POINT(106.849945 -6.242549)
72,Jakarta,Rumah Sakit Umum,Jl. Jend. Sudirman Kav. 49 ,-6.218441,106.816101,12930,5732241,,,5710240 ; 5710249,,,,3171,3171100,3171100001,-6.218441,106.816101,POINT(106.816101 -6.218441)
73,Metropolitan Medical Center,Rumah Sakit Umum,Jl. HR. Rasuna Said Kav. C-21 Kuningan,-6.219806,106.832146,12940,5203435,,,5203417,,www.rsmmc.co.id/mmc@rsmmc.co.id,mmc@rsmmc.co.id,3171,3171100,3171100003,-6.219806,106.832146,POINT(106.832146 -6.219806)
74,Medistra,Rumah Sakit Umum,Jl. Jenderal Gatot Subroto Kav. 59,-6.239865,106.833328,12950,5210200,,,5210184,,,"customercare@medistra.com, medistra@cbn.net.id",3171,3171100,3171100002,-6.239865,106.833328,POINT(106.833328 -6.239865)
75,Agung,Rumah Sakit Umum,Jl. Sultan Agung No. 67,-6.209167,106.846275,12970,8295971-8294955,,,8305791,,,rsagung@pdpersi.co.id,3171,3171100,3171100006,-6.209167,106.846275,POINT(106.846275 -6.209167)
77,Columbia Asia Pulomas,Rumah Sakit Umum,Jl. Kayu Putih Raya  No. 1  RT.003 / RW.016,-6.182741,106.891495,13210,47883195,,,47883199,,www.rsadmira.com,rsadmira@rsadmira.com,3172,3172090,3172090007,-6.182741,106.891495,POINT(106.891495 -6.182741)
78,Omni Medical Center,Rumah Sakit Umum,Jl. Pulomas Barat VI No.20,-6.17582,106.885246,13210,4723332-4722719,,,4718081,,www.omni-hospitals.com,normariati70@yahoo.com,3172,3172090,3172090006,-6.17582,106.885246,POINT(106.885246 -6.17582)
79,Kartika Pulomas ,Rumah Sakit Umum,Jalan  Pulomas Timur K. Nomor 2,-6.17582,106.885246,13210,4723402 - 4703333,,,4723402,,,,3172,3172090,3172090006,-6.17582,106.885246,POINT(106.885246 -6.17582)
80,Aneka Tambang Medika (Antam Medika),Rumah Sakit Umum,Jl. Pemuda Raya No. 1A RT.002 / RW.07,-6.192658,106.902603,13210,29378939,29378943,,29378960,,www.antammedika.co.id,rumahsakit@antammedika.co.id,3172,3172090,3172090003,-6.192658,106.902603,POINT(106.902603 -6.192658)
81,Persahabatan ,Rumah Sakit Umum Pusat,Jl. Persahabatan Raya ,-6.202596,106.885071,13220,4891708-4890696,,,4711222,478608873,www.persahabatan.co.id,rsp@pcraahabatan.ce.1d,3172,3172090,3172090001,-6.202596,106.885071,POINT(106.885071 -6.202596)
82,Dharma Nugraha,Rumah Sakit Umum,Jl. Balai Pustaka Baru No. 19,-6.195859,106.886421,13220,4707433-4707437,,,4707428,,,dharmanugraha@yahoo.com,3172,3172090,3172090005,-6.195859,106.886421,POINT(106.886421 -6.195859)
83,Mediros,Rumah Sakit Umum,Jl. Perintis Kemerdekaan Kav. 149,-6.179724,106.903748,13260,4721336 - 37,,,4891937,4891937,www.rs-mediros.com,"lumentagrace@yahoo.com, rsmediros@cbn.net.id",3172,3172090,3172090007,-6.179724,106.903748,POINT(106.903748 -6.179724)
84,Premier Jatinegara,Rumah Sakit Umum,Jl. Raya Jatinegara Timur No. 85 - 87,-6.221951,106.868935,13310,2800666,2800777,2800888,2800755,,www.ramsayhealth.co.id,rspremier.jatinegara@ramsayhealth.co.id,3172,3172060,3172060007,-6.221951,106.868935,POINT(106.868935 -6.221951)
85,Pengayoman Cipinang,Rumah Sakit Umum,Jl. Raya Bekasi Timur 170 B,-6.221951,106.868935,13410,085210432196,85914558,,85909644,,,rspengayoman.dki@gmail.com,3172,3172060,3172060007,-6.221951,106.868935,POINT(106.868935 -6.221951)
86,Yadika Pondok Bambu,Rumah Sakit Umum,Jl. Pahlawan Revolusi No. 47,-6.237237,106.898796,13430,8615754-8610756,,,8631708,,,rsyadika@yahoo.co.id,3172,3172070,3172070001,-6.237237,106.898796,POINT(106.898796 -6.237237)
87,Islam Jakarta Pondok Kopi,Rumah Sakit Umum,Jl. Raya Pondok Kopi,-6.220089,106.939682,13460,8610471 ,8630654,,8611101,,www.rsijpondokkopi.co.id,"aliyus_k@yahoo.com, ariefb12@gmail.com",3172,3172070,3172070004,-6.220089,106.939682,POINT(106.939682 -6.220089)
88,Dik Pusdikkes Kodiklat TNI AD,Rumah Sakit Umum,Jl. Raya Bogor,-6.275258,106.869537,13510,8092358,8003491,,8092706,80887304,www.pusdikkes.com,rs.dik.pusdikkes@gmail.com,3172,3172050,3172050005,-6.275258,106.869537,POINT(106.869537 -6.275258)
89,Bhayangkara Tk.I  R. Said Sukanto,Rumah Sakit Umum,Jl. RS Polri,-6.269806,106.870674,13510,8093288,,,8094005,,,rs_polri@pdpersi.co.id,3172,3172050,3172050005,-6.269806,106.870674,POINT(106.870674 -6.269806)
90,Al-Fauzan,Rumah Sakit Umum,Jalan  Pedati Nomor 3  RT.005 / RW.07,-6.297779,106.870377,13540,8402821,,,87710318 ,,www.jih.co.id,jakartaislamichospital@yahoo.com,3172,3172050,3172050003,-6.297779,106.870377,POINT(106.870377 -6.297779)
91,Haji Jakarta,Rumah Sakit Umum,Jl. Raya Pondok Gede No. 4,-6.290169,106.888847,13560,8000693-695,,,80876209,8000702,,"keliek_marwanto@yahoo.co.id, rshaji@pdpersi.co.id",3172,3172040,3172040001,-6.290169,106.888847,POINT(106.888847 -6.290169)
92,Pusat Angkatan Udara Dr. Esnawan Antariksa,Rumah Sakit Umum,"Jl. Merpati No. 2,  Komplek Rajawali",-6.257015,106.891922,13610,8091716-8093943,,,8098665,,,ruspau@pdpersi.co.id,3172,3172040,3172040004,-6.257015,106.891922,POINT(106.891922 -6.257015)
93,Harum Sisma Medika,Rumah Sakit Umum,Jl. Inspeksi Tarum Barat - Kalimalang,-6.24808,106.90963,13620,8617212-13,,,8601030,,,"erwintyrana@sismamedika.com, rsharum@pdpersi.co.id",3172,3172040,3172040005,-6.24808,106.90963,POINT(106.90963 -6.24808)
94,Budhi Asih ,Rumah Sakit Umum Daerah,Jl. Dewi Sartika  Cawang III  No. 200,-6.256015,106.862869,13630,8090282,8092482,,8009157-8007348,,www.rsudbudhiasih.com,budhiasih@ymail.com,3172,3172050,3172050007,-6.256015,106.862869,POINT(106.862869 -6.256015)
95,Universitas Kristen Indonesia,Rumah Sakit Umum,Jl. Mayjen Sutoyo No. 2,-6.25092,106.872002,13630,8092317,8092831,8010523,8092445,,,rsuuki@yahoo.co.id,3172,3172050,3172050007,-6.25092,106.872002,POINT(106.872002 -6.25092)
96,Olahraga Nasional,Rumah Sakit Umum,Jalan  Jambore  Nomor 1,-6.368448,106.892929,13720,87753977,,,021-87753977,,,rsolahragacibubur@gmail.com,3172,3172020,3172020001,-6.368448,106.892929,POINT(106.892929 -6.368448)
97,Tingkat IV Cijantung Kesdam Jaya,Rumah Sakit Umum,"Jl. Mahoni,  Cijantung II ",-6.309916,106.859673,13760,8400535,,,8407886,,,kesdamjaya_cijantung@yahoo.com,3172,3172010,3172010005,-6.309916,106.859673,POINT(106.859673 -6.309916)
98,Pasar Rebo,Rumah Sakit Umum Daerah,Jl. Letjen T. B. Simatupang No. 30,-6.304108,106.861931,13760,8401127/ 8400109,,,8411159,,www.rsudpasarrebo.com,rsudpasarrebo@yahoo.com,3172,3172010,3172010005,-6.304108,106.861931,POINT(106.861931 -6.304108)
99,Adhyaksa,Rumah Sakit Umum,Jl. Hankam Raya No.60,-6.304108,106.861931,13820,021-29462345,,,,,,,3172,3172010,3172010005,-6.304108,106.861931,POINT(106.861931 -6.304108)
100,Harapan Bunda,Rumah Sakit Umum,Jl. Raya Bogor KM. 22 No. 44,-6.29439,106.880798,13830,8400257,,,87781247,,,"hrd@rsharapanbunda.com, harapanbunda@pdpersi.co.id",3172,3172050,3172050004,-6.29439,106.880798,POINT(106.880798 -6.29439)
101,Harapan Jayakarta ,Rumah Sakit Umum,Jalan  Bekasi Timur Raya  Nomor 6  KM.18,-6.195012,106.906258,13930,4608886,4603916,46821726,4608863,,,,3172,3172080,3172080001,-6.195012,106.906258,POINT(106.906258 -6.195012)
102,Kepulauan Seribu,Rumah Sakit Umum Daerah,Pulau Pramuka,-5.744879,106.613396,14510,021-33230332,33312388,36571981,33312388,37175900,,rsukepulauanseribu@yahoo.co.id,3101,3101020,3101020001,-5.744879,106.613396,POINT(106.613396 -5.744879)
103,Cempaka Putih,Rumah Sakit Umum Kecamatan,Jalan  Rawasari Selatan  Nomor 1,-6.184666,106.869911,10510,4219548,42801341,,4219548,42801341,,,3173,3173050,3173050002,-6.184666,106.869911,POINT(106.869911 -6.184666)
104,Sawah Besar,Rumah Sakit Umum Kecamatan,Jalan  Dwiwarna Raya  Nomor 6-8,-6.149973,106.829605,10740,6289080,4224041,,6012240,,,,3173,3173070,3173070004,-6.149973,106.829605,POINT(106.829605 -6.149973)
